,Date,Name,Place,URL
1132,jeu. 13.05.2010,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/2010/zkb/flughafen
1133,mer. 12.05.2010,BCN Tour La Chaux-de-fonds,La Chaux-de-Fonds,http://services.datasport.com/2010/lauf/tdcn/etape4
1134,mer. 12.05.2010,Tour du Chablais #6 Mouthey,Aigle,http://services.datasport.com/2010/lauf/TourDuChablais/etappe6
1135,sam. 08.05.2010,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/2010/lauf/kehrsatz
1136,sam. 08.05.2010,"Sempacherseelauf, Sursee",Sursee,http://services.datasport.com/2010/lauf/sempacherseelauf
1137,mer. 05.05.2010,BCN Tour Le Locle,Les Ponts-de-Martel,http://services.datasport.com/2010/lauf/tdcn/etape3
1138,mer. 05.05.2010,Tour du Chablais #5 Leysin,Roche VD,http://services.datasport.com/2010/lauf/TourDuChablais/etappe5
1139,dim. 02.05.2010,"Bischofszeller Städtlilauf, Bischofszell",Bischofszell,http://services.datasport.com/2010/lauf/bischofszell
1140,sam. 01.05.2010,"Sihltaler Frühlingslauf, Gattikon",Gattikon,http://services.datasport.com/2010/lauf/sihltaler
1141,dim. 27.06.2010,"Aletsch-Halbmarathon, Bettmeralp",Bettmeralp,http://services.datasport.com/2010/lauf/gletscherlauf
1142,dim. 27.06.2010,"Murilauf, Muri b. Bern",Muri b. Bern,http://services.datasport.com/2010/lauf/murilauf
1143,sam. 26.06.2010,"Graubünden Marathon/Walking, Lenzerheide",Lenzerheide/Lai,http://services.datasport.com/2010/lauf/grmarathon
1144,sam. 26.06.2010,Hellebardenlauf Sempach,Sempach Stadt,http://services.datasport.com/2010/lauf/sempach
1145,ven. 25.06.2010,"Derendinger Abendlauf, Derendingen",Derendingen,http://services.datasport.com/2010/lauf/derendingen
1146,dim. 20.06.2010,"Männlichen Halbmarathon, Grindelwald",Grindelwald,http://services.datasport.com/2010/lauf/maennlichen
1147,sam. 19.06.2010,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/2010/zkb/wyland
1148,sam. 19.06.2010,"Défi Val-de-Travers, Couvet",Couvet,http://services.datasport.com/2010/lauf/defi
1149,dim. 13.06.2010,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/2010/lauf/frauenlauf
1150,ven. 11.06.2010,Churer Lauf Parade,Chur,http://services.datasport.com/2010/lauf/chur
1151,jeu. 10.06.2010,"Bieler Lauftage, Biel/Bienne",Biel/Bienne,http://services.datasport.com/2010/lauf/biel
1152,mar. 08.06.2010,"Töss-Stafette, Winterthur",Winterthur,http://services.datasport.com/2010/lauf/toess
1153,dim. 06.06.2010,"La Cuorsa dil Rein, Disentis",Disentis/Mustér,http://services.datasport.com/2010/lauf/cuorsadilrein
1154,sam. 05.06.2010,Zumiker-Lauf,Zumikon,http://services.datasport.com/2010/zkb/zumiker
1155,sam. 05.06.2010,"Baldeggerseelauf, Hitzkirch",Hitzkirch,http://services.datasport.com/2010/lauf/baldegger
1156,sam. 05.06.2010,"Engelbergertal Trophy, Engelberg",Engelberg,http://services.datasport.com/2010/diverse/trophy
1157,sam. 05.06.2010,"Appenzellerlauf, Appenzell",Appenzell,http://services.datasport.com/2010/lauf/appenzellerlauf
1158,mer. 02.06.2010,"Gempenlauf, Dornach",Dornach,http://services.datasport.com/2010/lauf/gempen
1159,ven. 23.07.2010,"Aegeriseelauf, Oberägeri",Oberägeri,http://services.datasport.com/2010/lauf/aegeri
1160,dim. 11.07.2010,Montreux - Les Rochers de Naye,Montreux,http://services.datasport.com/2010/lauf/montreux
1161,sam. 10.07.2010,"Zermatt Marathon, Zermatt",Zermatt,http://services.datasport.com/2010/lauf/zermattmarathon
1162,sam. 03.07.2010,"Trail Verbier Saint-Bernard, Verbier",Verbier,http://services.datasport.com/2010/lauf/verbier
1163,dim. 29.08.2010,"Rheinfall-Lauf, Neuhausen",Neuhausen am Rheinfall,http://services.datasport.com/2010/lauf/rheinfall
1164,dim. 29.08.2010,Run&Walk; Event Rothenburg,Rothenburg,http://services.datasport.com/2010/lauf/fitevent
1165,sam. 28.08.2010,Frauenfelder Stadtlauf,Frauenfeld,http://services.datasport.com/2010/lauf/frauenfeld
