,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
627,627,mer. 03.05.2006,BCN Tour Corcelles,Chézard-St-Martin,http://services.datasport.com/2006/lauf/tdcn/etape2,,,,
628,628,lun. 01.05.2006,"Sihltaler Frühlingslauf, Gattikon",Gattikon,http://services.datasport.com/2006/lauf/sihltaler,,,,
629,629,ven. 30.06.2006,"Derendinger Abendlauf, Derendingen",Derendingen,http://services.datasport.com/2006/lauf/derendingen,,,,
630,630,dim. 25.06.2006,"Aletsch-Halbmarathon, Bettmeralp",Bettmeralp,http://services.datasport.com/2006/lauf/gletscherlauf,,,,
631,631,dim. 25.06.2006,"Innerschweizer Nordic Walking-Event, Küssnacht a. Rigi",Küssnacht am Rigi,http://services.datasport.com/2006/lauf/innerschweiz,,,,
632,632,dim. 25.06.2006,"Engelbergertal Trophy, Engelberg",Engelberg,http://services.datasport.com/2006/diverse/trophy,,,,
633,633,dim. 25.06.2006,"Murilauf, Muri b. Bern",Muri b. Bern,http://services.datasport.com/2006/lauf/murilauf,,,,
634,634,dim. 25.06.2006,Montreux - Les Rochers de Naye,Montreux,http://services.datasport.com/2006/lauf/montreux,,,,
635,635,sam. 24.06.2006,"Graubünden Marathon/Walking, Lenzerheide",Lenzerheide/Lai,http://services.datasport.com/2006/lauf/grmarathon,,,,
636,636,sam. 17.06.2006,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/2006/zkb/wyland,,,,
637,637,mar. 13.06.2006,"Töss-Stafette, Winterthur",Winterthur,http://services.datasport.com/2006/lauf/toess,,,,
638,638,dim. 11.06.2006,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/2006/lauf/frauenlauf,,,,
639,639,ven. 09.06.2006,"Bieler Lauftage, Biel/Bienne",Biel/Bienne,http://services.datasport.com/2006/lauf/biel,,,,
640,640,ven. 09.06.2006,Churer Lauf Parade,Chur,http://services.datasport.com/2006/lauf/chur,,,,
641,641,sam. 03.06.2006,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/2006/lauf/wohlen,,,,
642,642,ven. 21.07.2006,"Aegeriseelauf, Oberägeri",Oberägeri,http://services.datasport.com/2006/lauf/aegeri,,,,
643,643,sam. 08.07.2006,"Zermatt Marathon, Zermatt",Zermatt,http://services.datasport.com/2006/lauf/zermattmarathon,,,,
644,644,sam. 01.07.2006,Hellebardenlauf Sempach,Sempach Stadt,http://services.datasport.com/2006/lauf/sempach,,,,
645,645,mer. 30.08.2006,Tour du Pays de Vaud etape 3 - Aubonne,Champvent,http://services.datasport.com/2006/lauf/tdpv/aubonne/,,,,
646,646,dim. 27.08.2006,"Thuner Stadtlauf, Thun",Thun,http://services.datasport.com/2006/lauf/thunstadt,,,,
647,647,dim. 27.08.2006,"Engadiner Sommerlauf, Samedan",Bever,http://services.datasport.com/2006/lauf/engadin,,,,
648,648,dim. 27.08.2006,"Rheinfall-Lauf, Neuhausen",Neuhausen am Rheinfall,http://services.datasport.com/2006/lauf/rheinfall,,,,
649,649,dim. 27.08.2006,Alpenmarathon / Marathon des Alpages,Anzère,http://services.datasport.com/2006/lauf/maraalp/,,,,
650,650,sam. 26.08.2006,Frauenfelder Stadtlauf,Frauenfeld,http://services.datasport.com/2006/lauf/frauenfeld,,,,
651,651,sam. 26.08.2006,Herbstlauf Muri AG,Muri AG,http://services.datasport.com/2006/lauf/herbstlauf,,,,
652,652,sam. 26.08.2006,"Rund um den Bielersee, RUBI",Biel/Bienne,http://services.datasport.com/2006/lauf/rubi,,,,
653,653,sam. 26.08.2006,"Birslauf (Herbst), Basel",Basel,http://services.datasport.com/2006/lauf/birslaufhe,,,,
654,654,ven. 25.08.2006,"Défi Val-de-Travers, Couvet",Couvet,http://services.datasport.com/2006/lauf/defi,,,,
655,655,mer. 23.08.2006,Tour du Pays de Vaud etape 2 - Payerne,Payerne,http://services.datasport.com/2006/lauf/tdpv/payerne,,,,
656,656,sam. 19.08.2006,"Internationaler Matterhornlauf, Zermatt",Zermatt,http://services.datasport.com/2006/lauf/matterhorn,,,,
657,657,sam. 19.08.2006,"Inferno Halbmarathon, Mürren",Mürren,http://services.datasport.com/2006/tri/inferno,,,,
658,658,mer. 16.08.2006,Tour du Pays de Vaud etape 1 - Le Mont sur Lausanne,Yverdon-les-Bains,http://services.datasport.com/2006/lauf/tdpv/lemont/,,,,
659,659,dim. 13.08.2006,"Sierre-Zinal, Sierre",Sierre,http://services.datasport.com/2006/lauf/zinal,,,,
660,660,sam. 12.08.2006,"Münsiger-Louf, Münsingen",Münsingen,http://services.datasport.com/2006/lauf/muensingen,,,,
661,661,dim. 06.08.2006,"Course pédestre Thyon-Dixence, Thyon",Thyon-Les Collons,http://services.datasport.com/2006/lauf/thyon,,,,
662,662,sam. 30.09.2006,Morat-Fribourg,Murten,http://services.datasport.com/2006/lauf/morat,,,,
663,663,dim. 24.09.2006,"Pfäffikerseelauf, Wetzikon",Wetzikon ZH,http://services.datasport.com/2006/zkb/pfaeffiker,,,,
664,664,dim. 24.09.2006,"Züri walkt, Zürich",Zürich,http://services.datasport.com/2006/lauf/zueriwalkt,,,,
665,665,dim. 24.09.2006,Neeracher Kinder- und Jugendlauf,Neerach,http://services.datasport.com/2006/lauf/neerach,,,,
666,666,dim. 24.09.2006,"Course des 2 Bains, Saillon/Ovronnaz",Saillon,http://services.datasport.com/2006/lauf/2bains,,,,
667,667,sam. 23.09.2006,"WMRA World Masters Mountain Running Championships, Saillon",Saillon,http://services.datasport.com/2006/lauf/2bainswm,,,,
668,668,sam. 23.09.2006,A travers Carouge - Run to Run,Carouge GE,http://services.datasport.com/2006/lauf/carouge,,,,
669,669,sam. 23.09.2006,St. Galler Altstadtlauf,St. Gallen,http://services.datasport.com/2006/lauf/gallen,,,,
670,670,sam. 23.09.2006,"Schweizer Meisterschaften 10 km Strasse u Interlinth Marathon, Benken",Benken ZH,http://services.datasport.com/2006/lauf/smbenken,,,,
671,671,sam. 23.09.2006,"Engadin Walking Day, Pontresina",Pontresina,http://services.datasport.com/2006/lauf/ewalk/,,,,
672,672,sam. 16.09.2006,"Int Greifenseelauf, Uster",Uster,http://services.datasport.com/2006/lauf/Greifenseelauf,,,,
673,673,mer. 13.09.2006,Tour du Pays de Vaud etape 5 - L’Isle,La Sarraz,http://services.datasport.com/2006/lauf/tdpv/etape5,,,,
674,674,sam. 09.09.2006,"Jungfrau-Marathon, Interlaken",Interlaken,http://services.datasport.com/2006/lauf/jungfrau,,,,
675,675,sam. 09.09.2006,Altstätter Städtlilauf,Altstätten SG,http://services.datasport.com/2006/lauf/altstaeter,,,,
676,676,sam. 09.09.2006,Türlerseelauf Affoltern am Albis,Affoltern am Albis,http://services.datasport.com/2006/zkb/affoltern,,,,
677,677,sam. 09.09.2006,"Burgdorfer Stadtlauf, Burgdorf",Burgdorf,http://services.datasport.com/2006/lauf/burgdorf,,,,
678,678,ven. 08.09.2006,"Jungfrau Minirun + Minimarathon, Interlaken",Interlaken,http://services.datasport.com/2006/lauf/jmprolog,,,,
679,679,mar. 05.09.2006,Tour du Pays de Vaud etape 4 - Chavornay,Chavornay,http://services.datasport.com/2006/lauf/tdpv/chavornay,,,,
680,680,dim. 03.09.2006,Basel City Marathon,Basel,http://services.datasport.com/2006/lauf/baselcitymarathon,,,,
681,681,dim. 03.09.2006,"Panoramalauf, Richterswil",Richterswil,http://services.datasport.com/2006/zkb/panorama,,,,
682,682,dim. 03.09.2006,"Glarner Grenzlauf, Netstal",Netstal,http://services.datasport.com/2006/lauf/grenzlauf,,,,
683,683,sam. 28.10.2006,"Glarner Stadtlauf, Glarus",Glarus,http://services.datasport.com/2006/lauf/glarus,,,,
684,684,sam. 28.10.2006,Basler Marathon-Tage,Basel,http://services.datasport.com/2006/lauf/bamar,,,,
685,685,dim. 22.10.2006,Lausanne Marathon,Lausanne,http://services.datasport.com/2006/lauf/lamara,,,,
686,686,sam. 21.10.2006,"Üetliberglauf, Zürich",Zürich,http://services.datasport.com/2006/zkb/uetliberg,,,,
687,687,dim. 15.10.2006,"Brienzerseelauf, Bönigen",Bönigen b. Interlaken,http://services.datasport.com/2006/lauf/brienzer,,,,
688,688,sam. 14.10.2006,"Hallwilerseelauf, Beinwil am See",Beinwil am See,http://services.datasport.com/2006/lauf/hallwil,,,,
689,689,dim. 08.10.2006,Schlosslauf Rapperswil-Jona,Rapperswil SG,http://services.datasport.com/2006/lauf/schloss,,,,
690,690,sam. 07.10.2006,Geländelauf Attiswil,Attiswil,http://services.datasport.com/2006/lauf/attiswil,,,,
691,691,sam. 30.09.2006,Morat-Fribourg,Murten,http://services.datasport.com/2006/lauf/morat,,,,
692,692,dim. 26.11.2006,"Int. Bieler Cross, Biel-Bienne",Biel/Bienne,http://services.datasport.com/2006/lauf/bielercross,,,,
693,693,sam. 25.11.2006,Basler Stadtlauf,Basel,http://services.datasport.com/2006/lauf/basel,,,,
694,694,dim. 19.11.2006,Frauenfelder,Frauenfeld,http://services.datasport.com/2006/waffenlauf/frauenfelder,,,,
695,695,sam. 18.11.2006,"Corrida Bulloise, Bulle",Bulle,http://services.datasport.com/2006/lauf/corrida,,,,
696,696,sam. 18.11.2006,Langenthaler Stadtlauf,Langenthal,http://services.datasport.com/2006/lauf/langenthal,,,,
697,697,dim. 12.11.2006,"Maratona Ticino, Tenero",Tenero,http://services.datasport.com/2006/lauf/tenero,,,,
698,698,sam. 11.11.2006,"Kyburglauf, Kyburg",Kyburg,http://services.datasport.com/2006/lauf/kyburg,,,,
699,699,dim. 05.11.2006,"Walliseller Lauf, Wallisellen",Wallisellen,http://services.datasport.com/2006/lauf/wallisellen,,,,
700,700,dim. 05.11.2006,"Gurtenclassic, Wabern",Wabern,http://services.datasport.com/2006/lauf/gurten,,,,
701,701,dim. 31.12.2006,Gippinger Stauseelauf,Leuggern,http://services.datasport.com/2006/lauf/gippingen,,,,
702,702,dim. 17.12.2006,"Grand Prix Craft, Neuchâtel",Neuchâtel,http://services.datasport.com/2006/lauf/corrne,,,,
703,703,dim. 10.12.2006,"Zürcher Silvesterlauf, Zürich",Zürich,http://services.datasport.com/2006/lauf/silvester,,,,
704,704,sam. 09.12.2006,Course Titzé de noël Sion,Sion,http://services.datasport.com/2006/lauf/sion,,,,
