,date,name,location,url,min_temp,max_temp,uv_index,weather_desc,latitude,longitude,weekday,day,month,year
73,lun. 24.04.2000,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/2000/lauf/blenio,,,,,,,monday,24,4,2000
74,sam. 22.04.2000,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/2000/lauf/eiken,,,,,,,saturday,22,4,2000
75,mer. 19.04.2000,BCN Tour Le Landeron,Colombier NE,http://services.datasport.com/2000/lauf/tdcn,,,,,46.9668714,6.8589727,wednesday,19,4,2000
76,sam. 15.04.2000,Schwyzer Halbmarathon,Schwyz,http://services.datasport.com/2000/lauf/schwyz,,,,,,,saturday,15,4,2000
77,sam. 15.04.2000,Zumiker-Lauf,Zumikon,http://services.datasport.com/2000/zkb/zumiker,,,,,,,saturday,15,4,2000
78,sam. 08.04.2000,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/2000/zkb/gpduebendorf,,,,,47.3971476,8.618012799999999,saturday,8,4,2000
79,dim. 28.05.2000,Erlenbacher Frauenlauf,Erlenbach ZH,http://services.datasport.com/2000/lauf/erlenbach,,,,,,,sunday,28,5,2000
80,dim. 28.05.2000,Winterthur Marathon,Winterthur,http://services.datasport.com/2000/lauf/winterthur,,,,,39.8088766,-75.6037351,sunday,28,5,2000
81,sam. 27.05.2000,Thuner Langstreckenlauf,Thun,http://services.datasport.com/2000/lauf/langthun,,,,,46.7579868,7.6279881,saturday,27,5,2000
82,mer. 24.05.2000,BCN Tour Neuchâtel,Neuchâtel,http://services.datasport.com/2000/lauf/tdcn,,,,,46.9899874,6.9292732,wednesday,24,5,2000
83,sam. 20.05.2000,Lenzburger Stadtlauf,Lenzburg,http://services.datasport.com/2000/lauf/lenzburg,,,,,47.3904443,8.172154500000001,saturday,20,5,2000
84,mer. 17.05.2000,BCN Tour La Sagne,Couvet,http://services.datasport.com/2000/lauf/tdcn,,,,,46.9262933,6.6324944,wednesday,17,5,2000
85,ven. 12.05.2000,Churer Lauf Parade,Chur,http://services.datasport.com/2000/lauf/chur,,,,,46.8507835,9.5319859,friday,12,5,2000
86,mer. 10.05.2000,BCN Tour Dombresson,La Chaux-de-Fonds,http://services.datasport.com/2000/lauf/tdcn,,,,,47.1034892,6.832783800000001,wednesday,10,5,2000
87,dim. 07.05.2000,"Wiedlisbacher Läufe, Wiedlisbach",Wiedlisbach,http://services.datasport.com/2000/waffenlauf/Wiedlisbach,,,,,47.2512653,7.6453444,sunday,7,5,2000
88,sam. 06.05.2000,Luzerner Stadtlauf,Luzern,http://services.datasport.com/2000/lauf/luzern,,,,,47.05016819999999,8.3093072,saturday,6,5,2000
89,mer. 03.05.2000,BCN Tour Noiraigue,Les Ponts-de-Martel,http://services.datasport.com/2000/lauf/tdcn,,,,,46.999113,6.733554799999999,wednesday,3,5,2000
90,mar. 27.06.2000,"Töss-Stafette, Winterthur",Winterthur,http://services.datasport.com/2000/lauf/toess,,,,,39.8088766,-75.6037351,tuesday,27,6,2000
91,sam. 24.06.2000,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/2000/zkb/wyland,,,,,,,saturday,24,6,2000
92,dim. 18.06.2000,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/2000/lauf/frauenlauf,,,,,46.9479739,7.4474468,sunday,18,6,2000
93,sam. 17.06.2000,"Sihlwaldlauf, Langnau a.A.",Langnau am Albis,http://services.datasport.com/2000/zkb/sihlwald,,,,,,,saturday,17,6,2000
94,ven. 16.06.2000,"Bieler Lauftage, Biel/Bienne",Biel/Bienne,http://services.datasport.com/2000/lauf/biel,,,,,47.1367785,7.2467909,friday,16,6,2000
95,sam. 10.06.2000,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/2000/lauf/wohlen,,,,,47.3493653,8.2768762,saturday,10,6,2000
96,dim. 04.06.2000,Appenzell-Schwägalp-Classic,Appenzell,http://services.datasport.com/2000/velo/appen,,,,,,,sunday,4,6,2000
97,sam. 03.06.2000,Grüninger Volkslauf,Grüningen,http://services.datasport.com/2000/lauf/gruninger,,,,,,,saturday,3,6,2000
98,jeu. 01.06.2000,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/2000/zkb/flughafen,,,,,,,thursday,1,6,2000
99,dim. 23.07.2000,Adelbodenlauf,Adelboden,http://services.datasport.com/2000/lauf/adelboden,,,,,,,sunday,23,7,2000
100,sam. 22.07.2000,Davoser Nachtlauf,Davos Platz,http://services.datasport.com/2000/lauf/nachtlau,,,,,,,saturday,22,7,2000
101,dim. 27.08.2000,"Thuner Stadtlauf, Thun",Thun,http://services.datasport.com/2000/lauf/thunstadt,,,,,46.7579868,7.6279881,sunday,27,8,2000
102,dim. 27.08.2000,"Engadiner Sommerlauf, Samedan",Bever,http://services.datasport.com/2000/lauf/engadin,,,,,,,sunday,27,8,2000
103,sam. 26.08.2000,Stadtlauf Biel,Biel/Bienne,http://services.datasport.com/2000/lauf/bielcity,,,,,47.1367785,7.2467909,saturday,26,8,2000
104,sam. 19.08.2000,"Inferno Halbmarathon, Mürren",Mürren,http://services.datasport.com/2000/lauf/inferno,,,,,,,saturday,19,8,2000
105,ven. 18.08.2000,"Défi Val-de-Travers, Couvet",Couvet,http://services.datasport.com/2000/lauf/defi,,,,,46.9262933,6.6324944,friday,18,8,2000
106,dim. 13.08.2000,"Sierre-Zinal, Sierre",Sierre,http://services.datasport.com/2000/lauf/zinal,,,,,46.29413110000001,7.533536199999999,sunday,13,8,2000
107,dim. 06.08.2000,"Course pédestre Thyon-Dixence, Thyon",Thyon-Les Collons,http://services.datasport.com/2000/lauf/thyon,,,,,,,sunday,6,8,2000
108,dim. 24.09.2000,Madetswiler Geländelauf,Madetswil,http://services.datasport.com/2000/lauf/madetswil,,,,,,,sunday,24,9,2000
109,sam. 23.09.2000,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/2000/zkb/winterthur,,,,,39.8088766,-75.6037351,saturday,23,9,2000
110,sam. 23.09.2000,Altstätter Städtlilauf,Altstätten SG,http://services.datasport.com/2000/lauf/altstaeter,,,,,,,saturday,23,9,2000
111,sam. 23.09.2000,"Burgdorfer Stadtlauf, Burgdorf",Burgdorf,http://services.datasport.com/2000/lauf/burgdorf,,,,,45.277123,-115.9129022,saturday,23,9,2000
112,dim. 17.09.2000,"Course en fôret, Romont",Romont FR,http://services.datasport.com/2000/lauf/romont,,,,,46.691887,6.9118086,sunday,17,9,2000
113,sam. 16.09.2000,"Int Greifenseelauf, Uster",Uster,http://services.datasport.com/2000/lauf/Greifenseelauf,,,,,47.3482747,8.717873899999999,saturday,16,9,2000
114,dim. 10.09.2000,Sommer-Gommerlauf,Münster VS,http://services.datasport.com/2000/lauf/gommer,,,,,,,sunday,10,9,2000
115,sam. 09.09.2000,St. Galler Altstadtlauf,St. Gallen,http://services.datasport.com/2000/lauf/gallen,,,,,47.4244818,9.3767173,saturday,9,9,2000
116,sam. 09.09.2000,"Münsiger-Louf, Münsingen",Münsingen,http://services.datasport.com/2000/lauf/muensingen,,,,,46.8746813,7.5627528,saturday,9,9,2000
117,sam. 09.09.2000,Türlerseelauf Affoltern am Albis,Affoltern am Albis,http://services.datasport.com/2000/zkb/affoltern,,,,,47.2795081,8.4540083,saturday,9,9,2000
118,dim. 03.09.2000,Zolliker Berglauf,Zollikon,http://services.datasport.com/2000/lauf/zolikerberg,,,,,47.3412096,8.577214600000001,sunday,3,9,2000
119,dim. 03.09.2000,"Panoramalauf, Richterswil",Richterswil,http://services.datasport.com/2000/zkb/panorama,,,,,,,sunday,3,9,2000
120,sam. 02.09.2000,"Jungfrau-Marathon, Interlaken",Interlaken,http://services.datasport.com/2000/lauf/jungfrau,,,,,,,saturday,2,9,2000
121,dim. 29.10.2000,"Course d automne des Dames, Bex",Bex,http://services.datasport.com/2000/lauf/bex,,,,,46.24998470000001,7.014266399999999,sunday,29,10,2000
122,dim. 22.10.2000,Lausanne Marathon,Lausanne,http://services.datasport.com/2000/lauf/lamara,,,,,46.5196535,6.6322734,sunday,22,10,2000
123,sam. 21.10.2000,"Üetliberglauf, Zürich",Zürich,http://services.datasport.com/2000/zkb/uetliberg,,,,,47.3768866,8.541694,saturday,21,10,2000
124,dim. 15.10.2000,"Brienzerseelauf, Bönigen",Bönigen b. Interlaken,http://services.datasport.com/2000/lauf/brienzer,,,,,,,sunday,15,10,2000
125,dim. 15.10.2000,Schlosslauf Rapperswil-Jona,Rapperswil SG,http://services.datasport.com/2000/lauf/schloss,,,,,47.2266239,8.818437399999999,sunday,15,10,2000
126,sam. 14.10.2000,"Hallwilerseelauf, Beinwil am See",Beinwil am See,http://services.datasport.com/2000/lauf/hallwil,,,,,,,saturday,14,10,2000
127,dim. 08.10.2000,"Pfäffikerseelauf, Wetzikon",Wetzikon ZH,http://services.datasport.com/2000/zkb/pfaeffikersee,,,,,,,sunday,8,10,2000
128,sam. 07.10.2000,Stadtlauf Laufenburg,Laufenburg,http://services.datasport.com/2000/lauf/laufenburg,,,,,,,saturday,7,10,2000
129,dim. 01.10.2000,Morat-Fribourg,Murten,http://services.datasport.com/2000/lauf/morat,,,,,46.92922110000001,7.120184,sunday,1,10,2000
130,sam. 25.11.2000,Basler Stadtlauf,Basel,http://services.datasport.com/2000/lauf/basel,,,,,47.5595986,7.5885761,saturday,25,11,2000
131,sam. 18.11.2000,Langenthaler Stadtlauf,Langenthal,http://services.datasport.com/2000/lauf/langenthal,,,,,47.2120786,7.790562299999999,saturday,18,11,2000
132,dim. 12.11.2000,"Maratona Ticino, Tenero",Tenero,http://services.datasport.com/2000/lauf/tenero,,,,,,,sunday,12,11,2000
133,sam. 11.11.2000,"Glarner Stadtlauf, Glarus",Glarus,http://services.datasport.com/2000/lauf/glarus,,,,,,,saturday,11,11,2000
134,sam. 11.11.2000,"Kyburglauf, Kyburg",Kyburg,http://services.datasport.com/2000/lauf/kyburg,,,,,,,saturday,11,11,2000
135,dim. 05.11.2000,"Walliseller Lauf, Wallisellen",Wallisellen,http://services.datasport.com/2000/lauf/wallisellen,,,,,,,sunday,5,11,2000
136,dim. 05.11.2000,"Gurtenclassic, Wabern",Wabern,http://services.datasport.com/2000/lauf/gurten,,,,,46.92901639999999,7.448973199999999,sunday,5,11,2000
137,dim. 31.12.2000,Gippinger Stauseelauf,Leuggern,http://services.datasport.com/2000/lauf/gippingen,,,,,47.5810513,8.2152586,sunday,31,12,2000
138,dim. 10.12.2000,"Steinhölzlilauf, Liebefeld",Liebefeld,http://services.datasport.com/2000/lauf/steinhlzli,,,,,46.933331,7.416668,sunday,10,12,2000
139,sam. 09.12.2000,Course Titzé de noël Sion,Sion,http://services.datasport.com/2000/lauf/sion,,,,,46.2331221,7.360625999999999,saturday,9,12,2000
140,sam. 02.12.2000,"Course de l'Escalade, Genève",Genève,http://services.datasport.com/2000/lauf/escalade,,,,,46.2043907,6.1431577,saturday,2,12,2000
141,sam. 02.12.2000,Gossauer Weihnachtslauf,Gossau SG,http://services.datasport.com/2000/lauf/gossau,,,,,47.4155608,9.248852,saturday,2,12,2000
142,sam. 13.01.2001,"Dietiker Neujahrslauf, Dietikon",Dietikon,http://services.datasport.com/2001/zkb/zhneujahr,,,,,47.4053885,8.39977,saturday,13,1,2001
143,sam. 31.03.2001,Zumiker-Lauf,Zumikon,http://services.datasport.com/2001/zkb/zumiker,,,,,,,saturday,31,3,2001
144,sam. 24.03.2001,"Badener Limmat-Lauf, Baden",Baden,http://services.datasport.com/2001/lauf/baden,,,,,48.5699281,8.5303972,saturday,24,3,2001
145,sam. 24.03.2001,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/2001/zkb/maennedorf,,,,,47.2574625,8.6946733,saturday,24,3,2001
146,sam. 17.03.2001,Kerzerslauf,Kerzers,http://services.datasport.com/2001/lauf/kerzers,,,,,46.97488999999999,7.1954365,saturday,17,3,2001
147,sam. 03.03.2001,"Cross SM 2001, Bern",Bern,http://services.datasport.com/2001/lauf/cross-sm,,,,,46.9479739,7.4474468,saturday,3,3,2001
148,sam. 28.04.2001,Luzerner Stadtlauf,Luzern,http://services.datasport.com/2001/lauf/luzern,,,,,47.05016819999999,8.3093072,saturday,28,4,2001
149,sam. 28.04.2001,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/2001/lauf/kehrsatz,,,,,,,saturday,28,4,2001
150,mer. 25.04.2001,BCN Tour Savagnier,Chézard-St-Martin,http://services.datasport.com/2001/lauf/tdcn/etape2,,,,,47.0624261,6.9175754,wednesday,25,4,2001
151,mer. 18.04.2001,BCN Tour Marin,Colombier NE,http://services.datasport.com/2001/lauf/tdcn/etape1,,,,,46.9668714,6.8589727,wednesday,18,4,2001
152,lun. 16.04.2001,"Osterlauf, Muri",Muri AG,http://services.datasport.com/2001/lauf/muri,,,,,,,monday,16,4,2001
153,lun. 16.04.2001,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/2001/lauf/blenio,,,,,,,monday,16,4,2001
154,sam. 14.04.2001,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/2001/lauf/eiken,,,,,,,saturday,14,4,2001
155,sam. 07.04.2001,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/2001/zkb/gpduebendorf,,,,,47.3971476,8.618012799999999,saturday,7,4,2001
156,sam. 26.05.2001,Thuner Langstreckenlauf,Thun,http://services.datasport.com/2001/lauf/langthun,,,,,46.7579868,7.6279881,saturday,26,5,2001
157,jeu. 24.05.2001,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/2001/zkb/flughafen,,,,,,,thursday,24,5,2001
158,mer. 23.05.2001,BCN Tour Corcelles,Neuchâtel,http://services.datasport.com/2001/lauf/tdcn/etape6,,,,,46.9899874,6.9292732,wednesday,23,5,2001
159,dim. 20.05.2001,Winterthur Marathon,Winterthur,http://services.datasport.com/2001/lauf/winterthur,,,,,39.8088766,-75.6037351,sunday,20,5,2001
160,sam. 19.05.2001,Lenzburger Stadtlauf,Lenzburg,http://services.datasport.com/2001/lauf/lenzburg,,,,,47.3904443,8.172154500000001,saturday,19,5,2001
161,mer. 16.05.2001,BCN Tour Les Ponts-de-Martel,Couvet,http://services.datasport.com/2001/lauf/tdcn/etape5,,,,,46.9262933,6.6324944,wednesday,16,5,2001
162,mer. 09.05.2001,BCN Tour Cully,La Chaux-de-Fonds,http://services.datasport.com/2001/lauf/tdcn/etape4,,,,,47.1034892,6.832783800000001,wednesday,9,5,2001
163,dim. 06.05.2001,"Wiedlisbacher Läufe, Wiedlisbach",Wiedlisbach,http://services.datasport.com/2001/waffenlauf/wiedlisbach,,,,,47.2512653,7.6453444,sunday,6,5,2001
164,sam. 05.05.2001,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/2001/zkb/winterthur,,,,,39.8088766,-75.6037351,saturday,5,5,2001
165,mer. 02.05.2001,BCN Tour Le Sentier,Les Ponts-de-Martel,http://services.datasport.com/2001/lauf/tdcn/etape3,,,,,46.999113,6.733554799999999,wednesday,2,5,2001
166,sam. 30.06.2001,Hellebardenlauf Sempach,Sempach Stadt,http://services.datasport.com/2001/lauf/sempach,,,,,,,saturday,30,6,2001
167,mar. 26.06.2001,"Töss-Stafette, Winterthur",Winterthur,http://services.datasport.com/2001/lauf/toess,,,,,39.8088766,-75.6037351,tuesday,26,6,2001
168,dim. 24.06.2001,Montreux - Les Rochers de Naye,Montreux,http://services.datasport.com/2001/lauf/montreux,,,,,46.4312213,6.9106799,sunday,24,6,2001
169,sam. 23.06.2001,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/2001/zkb/wyland,,,,,,,saturday,23,6,2001
170,dim. 10.06.2001,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/2001/lauf/frauenlauf,,,,,46.9479739,7.4474468,sunday,10,6,2001
171,sam. 09.06.2001,"Sihlwaldlauf, Langnau a.A.",Langnau am Albis,http://services.datasport.com/2001/zkb/sihlwald,,,,,,,saturday,9,6,2001
