,city,latitude,longitude,distance,runners,population,canton
165,E-Bilbao,43.2630126,-2.9349852,10.106341923308683,1,nan,nan
166,Servion,46.57147,6.77879,0.15540934253708852,17,nan,nan
167,Colombier NE,46.9668714,6.8589727,0.5013944781316452,21,nan,nan
168,Puidoux,46.4988452,6.7691772,0.13847611997499745,23,nan,nan
169,Bramois,46.2334172,7.4056447,0.8246419751027589,5,nan,nan
170,Bercher,46.6920622,6.708587,0.18854316582854927,1,nan,nan
171,Chêne-Bougeries,46.1983939,6.1851258,0.5505894176043693,17,11222,GE
172,Yvonand,46.7994765,6.7455463,0.3018802100228007,10,nan,nan
173,Vessy,46.1824417,6.1666044,0.5749429672760935,17,nan,nan
174,Carouge GE,46.1829674,6.1378539,0.5981706879423769,53,nan,nan
175,Wiedlisbach,47.2512653,7.6453444,1.2496274152483389,2,2270,BE
176,Mariastein,40.4076633,-84.4838865,91.32092322752364,1,nan,nan
177,Corgémont,47.1938407,7.1416277,0.8449675636214314,1,nan,nan
178,Winterthur,39.8088766,-75.6037351,82.50936686591194,21,108044,ZH
179,Les Geneveys-sur-Coffrane,47.01735,6.85254,0.5442602145920771,4,nan,nan
180,I-Stezzano (BG),45.6522386,9.6540397,3.143800276823848,1,nan,nan
181,Leysin,46.3435634,7.012033,0.4185989454240999,53,nan,nan
182,Genolier,46.4349956,6.217922,0.4229113887262549,10,nan,nan
183,Dättwil AG,47.4550943,8.287015,1.9008469830775976,1,nan,nan
184,Giez,45.751988,6.246100999999999,0.8593249923119951,1,nan,nan
185,Montreux,46.4312213,6.9106799,0.2921137333969253,31,26433,VD
186,Vernier,46.2122638,6.1052686,0.6101003908285315,32,34655,GE
187,Savagnier,47.0509433,6.956111600000001,0.6222057789536224,5,nan,nan
188,L'Isle,46.6183489,6.4134809,0.2400227906624928,9,nan,nan
189,Ursy,46.6344043,6.83538,0.2332810259412468,11,nan,nan
190,F-Le Tholy,48.082773,6.743957,1.5671042715113852,2,nan,nan
191,Sommentier,46.633337,6.916671,0.3062775425296641,1,nan,nan
192,Tübach,47.4867194,9.452286899999999,2.9812233386858247,1,nan,nan
193,La Tour-de-Peilz,46.4533165,6.8612781,0.23841927395051266,93,11421,VD
194,F-Ste Feyre,46.13952099999999,1.91504,4.732524872373288,1,nan,nan
195,Tatroz,46.5262301,6.8680862,0.2359044898076336,1,nan,nan
196,Veytaux,46.42071019999999,6.9286409,0.31244755027226906,9,nan,nan
197,Charrat,46.12287,7.13284,0.6387519603944933,1,nan,nan
198,La Rippe,46.3815158,6.150842,0.5008574817922244,6,nan,nan
199,Grandvaux,46.5030476,6.721573599999999,0.09083106095851637,25,nan,nan
200,F-Mery sur Cher,47.24827399999999,1.992231,4.6969012451634535,1,nan,nan
201,Männedorf,47.2574625,8.6946733,2.1904007551133238,1,10588,ZH
202,F-Issy les Moulineaux,48.8245306,2.2743419,4.929911297862944,10,nan,nan
203,Essertines-sur-Rolle,46.492086,6.3173032,0.3161743094311902,4,nan,nan
204,I-Trento (TN),46.0747793,11.1217486,4.511463246579836,1,nan,nan
205,La Croix (Lutry),46.51612,6.70135,0.06916691615078663,12,nan,nan
206,GR-Elaiones Pylaias,n,a,,2,nan,nan
207,Penthalaz,46.6097989,6.525440199999999,0.13978385372925192,31,nan,nan
208,Romanel-sur-Lausanne,46.5630648,6.603945,0.051836658980399054,43,nan,nan
209,I-Aosta (AO),45.7349551,7.313076199999999,1.038866705333458,4,nan,nan
210,Ayent,46.2765711,7.4058146,0.8108360138074775,7,nan,nan
211,Champlan (Grimisuat),46.2469153,7.3717634,0.7881824572008943,1,nan,nan
212,F-Hartmannswiller,47.861553,7.216853,1.4637033773399653,2,nan,nan
213,Arveyes,46.29093,7.062189999999999,0.4869730202052335,5,nan,nan
214,J-Yawata City,34.8755551,135.7076209,129.59949984392162,6,nan,nan
215,F-Illkirch Graffenstaden,48.52854,7.711011,2.2801973115360044,1,nan,nan
216,Prilly,46.5346449,6.6052401,0.030911832408484188,77,11968,VD
217,Aubonne,46.49532910000001,6.3918325,0.2416681667662693,26,3240,VD
218,Bure,53.5933498,-2.2966054,11.391314935937956,3,nan,nan
219,F-Versailles,48.8048649,2.1203554,5.057627426117306,2,nan,nan
220,Bogis-Bossey,46.352546,6.1654551,0.4958268263931874,6,nan,nan
221,Carrouge VD,46.6043933,6.7748157,0.16582864949498435,13,nan,nan
222,Chavannes-de-Bogis,46.3435262,6.162147699999999,0.5020348589548136,7,nan,nan
223,F-Catenay,49.513651,1.320872,6.097130953319622,2,nan,nan
224,Studen BE,47.1115805,7.302630199999999,0.8942906756951264,2,nan,nan
225,Cureglia,46.0371189,8.945431,2.362951062259841,2,nan,nan
226,Bremgarten AG,47.34917739999999,8.3397905,1.8983478468035315,1,nan,nan
227,Blonay,46.4647104,6.8946536,0.26807109801254125,50,nan,nan
228,Mollie-Margot,46.55668,6.75057,0.12395582791385892,12,nan,nan
229,F-Port Lesney,47.00195799999999,5.825084899999999,0.9403036239707321,1,nan,nan
230,F-Annemasse,46.19325300000001,6.234158,0.5148137120526216,21,nan,nan
231,F-Publier,46.387104,6.542815999999999,0.15991246469556109,4,nan,nan
232,S-Stockholm,59.32932349999999,18.0685808,17.17197637012684,3,nan,nan
233,Neyruz FR,46.7685914,7.065865199999999,0.4999719262955173,10,nan,nan
234,I-Mantova (MN),45.1564168,10.7913751,4.376818622146659,1,nan,nan
235,Ravoire,45.556935,5.971687999999999,1.167561553381833,1,nan,nan
236,Chermignon,46.2885965,7.475380499999999,0.8741950121794385,2,nan,nan
237,F-Noaillan,44.479551,-0.366154,7.289719081252514,4,nan,nan
238,Vufflens-la-Ville,46.5787989,6.539418,0.11009225063700244,15,nan,nan
239,F-Gaillard,46.18468499999999,6.208959,0.5398138357245172,8,nan,nan
240,F-St Paul en Chablais,46.379455,6.630401,0.14021100272093162,1,nan,nan
241,F-Montreuil,48.863812,2.448451,4.795774071811978,3,nan,nan
242,Engelberg,46.8200266,8.4069918,1.7999581657644634,4,nan,nan
243,F-Ouveillan,43.292732,2.968821,4.881998141563348,1,nan,nan
244,Savièse,46.2511752,7.349158099999999,0.7655091577930191,12,nan,nan
245,Nidau,47.0935327,7.2328515,0.8306812808726644,5,6955,BE
246,Longirod,46.4951923,6.2585349,0.3745381378280319,9,nan,nan
247,Combremont-le-Petit,46.7494,6.80999,0.2904593675160299,1,nan,nan
248,St-Blaise,47.013611,6.9849397,0.606932888350879,10,nan,nan
249,Biel/Bienne,47.1367785,7.2467909,0.8709047154719347,32,54163,BE
250,Kerzers,46.97488999999999,7.1954365,0.7241498105598395,1,nan,nan
251,Charmey (Gruyère),46.6175845,7.1654493,0.5420950295859669,1,nan,nan
252,Lugano,46.0036778,8.951051999999999,2.375492605504897,6,63583,TI
253,F-Viry,48.837781,-0.888482,7.869909586068027,6,nan,nan
254,Camorino,46.1636142,9.0052405,2.3995284621831217,3,nan,nan
255,Villars-sur-Ollon,46.3,7.05,0.4719567484524506,3,nan,nan
256,F-Montagnole,45.538237,5.908586,1.2193858287642183,1,nan,nan
257,F-Saint Julien,43.690787,5.908373999999999,2.9200198657102643,3,nan,nan
258,F-La Terrasse,45.323803,5.930623,1.3864961962336595,2,nan,nan
259,F-Branges,46.645112,5.1744389,1.463222903255857,1,nan,nan
260,Manno,46.0342979,8.9194112,2.338069582933793,1,nan,nan
261,Vulliens,46.622324,6.792134400000001,0.18999150215536167,4,nan,nan
262,Bulle,46.6154512,7.057726799999999,0.4361052566718849,44,21991,FR
263,Villeneuve FR,46.7464845,6.868663,0.3276161558121972,1,nan,nan
264,F-La Rochelle,46.160329,-1.151139,7.79170216863902,1,nan,nan
265,Geneva,46.2043907,6.1431577,0.5819147712941558,5,198072,GE
266,Monthey,46.2521873,6.9469598,0.41299600299203504,43,17512,VS
267,F-Thoiry,46.236466,5.979909999999999,0.7111773096885254,16,nan,nan
268,F-Plaisir,48.817223,1.949075,5.216432963346967,1,nan,nan
269,Grand-Lancy,46.1781048,6.1233726,0.6128911312071077,21,nan,nan
270,Mont-sur-Rolle,46.4693048,6.340543599999999,0.2960426790172824,18,nan,nan
271,Crans-près-Céligny,46.3598471,6.206461900000001,0.4548115203171609,10,nan,nan
272,F-Cotebrune,47.253908,6.312708,0.8007819401356517,1,nan,nan
273,Cousset,46.81832,6.977279999999999,0.4563236047650953,2,nan,nan
274,Chbles FR,46.109173,6.701535,0.4162828486916183,1,nan,nan
275,F-Lyon,45.764043,4.835659,1.9490434910482641,17,nan,nan
276,Vésenaz,46.23936,6.19754,0.5172596787086824,13,nan,nan
277,Mathod,46.7674276,6.5656279,0.25658064482938,3,nan,nan
278,Geneve,46.2043907,6.1431577,0.5819147712941558,4,nan,nan
279,Affoltern am Albis,47.2795081,8.4540083,1.973853352967028,1,11695,ZH
280,Worb,46.93011019999999,7.5635394,1.0177087330522825,7,nan,nan
281,F-Doubs,47.1969824,6.3126004,0.7489761449500366,2,nan,nan
282,F-Tigery,48.64538899999999,2.503193,4.644142156052543,2,nan,nan
283,F-Maxilly sur Leman,46.40004,6.635004899999999,0.1196446842718052,4,nan,nan
284,F-Metabief,46.773705,6.350552,0.3793535446917705,5,nan,nan
285,Wettingen,47.4659503,8.3265988,1.9406741598669803,7,20298,AG
286,D-Gomadingen,48.3993121,9.391195999999999,3.338378403558341,1,nan,nan
287,St-Maurice,46.13168719999999,6.958372,0.5068117469609965,5,nan,nan
288,F-Jarnac,45.681389,-0.1739169,6.857617208023084,2,nan,nan
289,Novalles,46.8283942,6.595685599999999,0.31090108868469873,2,nan,nan
290,GB-Chorley,53.653511,-2.632596,11.693148755975127,1,nan,nan
291,F-Morteau,47.05698,6.604106,0.5380642805697257,3,nan,nan
292,D-Viernheim,49.5412437,8.5784877,3.594128188902083,1,nan,nan
293,Echichens,46.5260528,6.498251199999999,0.1341748900999379,6,nan,nan
294,Presinge,46.21860299999999,6.2535283,0.4838173770383464,1,nan,nan
295,Cugnasco,46.1757927,8.9221883,2.3155885858715592,1,nan,nan
296,La Chaux (Cossonay),46.61805,6.473059999999999,0.18716510879918327,4,nan,nan
297,Moudon,46.6698891,6.7975224,0.22333375810289108,21,5925,VD
298,Belfaux,46.8221516,7.1043531,0.5606820343614558,8,nan,nan
299,F-Fontaine,-11.6653222,27.4847982,61.808730675724156,1,nan,nan
300,Choulex,46.2233187,6.2244344,0.5041299074762755,2,nan,nan
301,Estavayer-le-Lac,46.8496401,6.845060800000001,0.39264441136774597,10,6208,FR
302,Riaz,46.6415102,7.062369299999999,0.44702521017466135,7,nan,nan
303,Cossonay-Ville,46.61452999999999,6.507239999999999,0.15695509347519945,30,nan,nan
304,Mollens VD,46.5770664,6.363767,0.2745759055841757,2,nan,nan
305,Siviriez,46.6585092,6.877722,0.2820034054128609,2,nan,nan
306,F-Joinville le Pont,48.821267,2.472043,4.754465446763328,2,nan,nan
307,F-Izon,44.920034,-0.361672,7.174542131938553,3,nan,nan
308,Glattbrugg,47.4346801,8.567109799999999,2.140295674310567,3,nan,nan
309,Lentigny,45.9961709,3.981732999999999,2.701739892094522,4,nan,nan
310,Cheiry,46.7512379,6.8368752,0.3090197904448859,3,nan,nan
311,Dietlikon,47.42519859999999,8.6162283,2.1808459306810284,3,nan,nan
312,Les Cullayes,46.5720997,6.754306799999999,0.13282603137186794,5,nan,nan
313,F-Premanon,46.463023,6.031912,0.6030263875985936,5,nan,nan
314,Chambésy,46.2420331,6.1435559,0.5620657268526591,5,nan,nan
315,F-Gy,4.860416,-58.93018,77.67835840765804,1,nan,nan
316,F-Montjean sur Loire,47.38791800000001,-0.859788,7.542205729316207,4,nan,nan
317,Tüscherz-Alfermée,47.1182329,7.197441899999999,0.8232330966965651,2,nan,nan
318,Vuissens,46.7370399,6.764964,0.2546834157013782,2,nan,nan
319,F-Arc les Gray,47.456876,5.584124,1.4060594508151558,2,nan,nan
320,GB-Ulverston,54.195138,-3.09267,12.389010712843213,1,nan,nan
321,Epagny,45.93813,6.090965000000001,0.7944711227998186,4,nan,nan
322,Grattavache,46.599999,6.916665999999999,0.2955241958029997,2,nan,nan
323,F-Thonon les Bains,46.373565,6.477634999999999,0.2127319547853812,23,nan,nan
324,Bavois,46.6860182,6.565371799999999,0.17931268078039245,12,nan,nan
325,F-Balma,43.606098,1.500032,5.9015851632806395,5,nan,nan
326,Bremblens,46.5454875,6.5186099,0.11656237295220978,6,nan,nan
327,Chailly-Montreux,46.451924,6.896046999999999,0.2723303090498917,7,nan,nan
328,USA-Chantilly,38.8942786,-77.43109919999999,84.40851233881557,1,nan,nan
329,Rothenthurm,47.1029154,8.6749618,2.124328209925711,1,nan,nan
330,F-Belleville,38.5200504,-89.9839935,96.94687555279728,3,nan,nan
331,Aarburg,47.3205914,7.9066923,1.505205983356969,1,7723,AG
332,F-Bellevaux,46.256606,6.530689,0.2819811652923108,1,nan,nan
333,F-Valençay,47.16073799999999,1.568095,5.104595204633448,1,nan,nan
334,St-Sulpice NE,46.910069,6.562324599999999,0.3966321939299589,1,nan,nan
335,D-Weil am Rhein,47.5934368,7.6198121,1.4588499783584965,3,nan,nan
336,Corcelles-le-Jorat,46.6064999,6.742288899999999,0.14016314577381211,5,nan,nan
337,Noville,46.3807941,6.9002856,0.3018484260638085,3,nan,nan
338,F-Le Mans,48.00611000000001,0.199556,6.602227357086019,7,nan,nan
339,ALG-Tizi Ouzou,36.7021906,4.0593255,10.149021563135568,3,nan,nan
340,Baden,48.5699281,8.5303972,2.7940114343952858,5,19012,AG
341,D-Berlin,52.52000659999999,13.404954,9.048394323541382,10,nan,nan
342,F-Brinckheim,47.626165,7.458703000000001,1.3810697243037438,1,nan,nan
