,city,latitude,longitude
314,Lausanne,46.5196535,6.6322734
315,Morges,46.5088127,6.496130099999999
316,Pully,46.5092681,6.6654949
317,Echandens-Denges,n,a
318,Basel,47.5595986,7.5885761
319,Genève,46.2043907,6.1431577
320,Villars-sous-Yens,46.5101868,6.428715100000001
321,Lausanne,46.5196535,6.6322734
322,F-Labergement Sainte Mari Proches Aidants 10 km,n,a
323,F-Besancon,47.237829,6.024053899999999
324,F-Besancon,47.237829,6.024053899999999
325,F-Saint point lac,46.82782160000001,6.325603399999999
326,Préverenges,46.5175835,6.525268199999999
327,Vouvry,46.3363829,6.891011199999999
328,Clarens,-28.5143573,28.4104684
329,E-Bilbao,43.2630126,-2.9349852
330,Servion,46.57147,6.77879
331,St-Sulpice VD,46.51011399999999,6.558195100000001
332,Renens VD,46.53381,6.59137
333,Neuchâtel,46.9899874,6.9292732
334,Genève,46.2043907,6.1431577
335,Zürich,47.3768866,8.541694
336,Colombier NE,46.9668714,6.8589727
337,Lausanne,46.5196535,6.6322734
340,La Tour-de-Trême,46.60833299999999,7.06667
341,Lutry,46.5088803,6.6827638
342,Puidoux,46.4988452,6.7691772
343,Puidoux,46.4988452,6.7691772
344,Puidoux,46.4988452,6.7691772
345,Düdingen,46.8464198,7.191017899999999
346,Cheseaux-sur-Lausanne,46.585452,6.6047712
347,Bramois,46.2334172,7.4056447
348,Bern,46.9479739,7.4474468
349,Bercher,46.6920622,6.708587
350,Chêne-Bougeries,46.1983939,6.1851258
351,St-Légier,46.47171849999999,6.876770899999999
352,Lausanne,46.5196535,6.6322734
353,Vevey,46.4628333,6.8419192
354,Yvonand,46.7994765,6.7455463
355,Yvonand,46.7994765,6.7455463
356,Vevey,46.4628333,6.8419192
357,Boudry,46.9542921,6.8478409
358,Vessy,46.1824417,6.1666044
359,Carouge GE,46.1829674,6.1378539
360,Wiedlisbach,47.2512653,7.6453444
361,St-Sulpice VD,46.51011399999999,6.558195100000001
362,Mariastein,40.4076633,-84.4838865
363,Corgémont,47.1938407,7.1416277
364,Winterthur,39.8088766,-75.6037351
365,Lausanne,46.5196535,6.6322734
366,Lausanne,46.5196535,6.6322734
367,Les Geneveys-sur-Coffrane,47.01735,6.85254
368,I-Stezzano (BG),45.6522386,9.6540397
369,Basel,47.5595986,7.5885761
370,Leysin,46.3435634,7.012033
371,Genolier,46.4349956,6.217922
372,Etoy,46.4860297,6.4192307
373,Lausanne,46.5196535,6.6322734
374,Belmont-sur-Lausanne,46.5191267,6.678912299999999
375,Genève,46.2043907,6.1431577
376,Genève,46.2043907,6.1431577
377,Lausanne,46.5196535,6.6322734
378,Dättwil AG,47.4550943,8.287015
379,Giez,45.751988,6.246100999999999
380,Renens VD,46.53381,6.59137
381,Montreux,46.4312213,6.9106799
382,Lausanne,46.5196535,6.6322734
383,Nyon,46.3832683,6.2347852
384,Vernier,46.2122638,6.1052686
386,Pully,46.5092681,6.6654949
387,Echallens,46.6410996,6.634450800000001
388,Yverdon-les-Bains,46.7784736,6.641183
390,Savagnier,47.0509433,6.956111600000001
391,L'Isle,46.6183489,6.4134809
392,Epalinges,46.54885729999999,6.674199
394,Epalinges,46.54885729999999,6.674199
395,Ursy,46.6344043,6.83538
396,F-Divonne les Bains,46.358168,6.136039999999999
397,F-Paris,48.856614,2.3522219
398,F-Le Tholy,48.082773,6.743957
399,Sommentier,46.633337,6.916671
400,Tübach,47.4867194,9.452286899999999
401,La Tour-de-Peilz,46.4533165,6.8612781
402,F-Le Tholy,48.082773,6.743957
403,St-Prex,46.4829113,6.458343500000001
404,F-Ste Feyre,46.13952099999999,1.91504
405,Lausanne,46.5196535,6.6322734
406,Tatroz,46.5262301,6.8680862
408,Lausanne,46.5196535,6.6322734
409,Veytaux,46.42071019999999,6.9286409
410,Vernier,46.2122638,6.1052686
411,Genève,46.2043907,6.1431577
412,Mézières VD,46.5955273,6.7702883
413,Charrat,46.12287,7.13284
414,La Rippe,46.3815158,6.150842
415,Grandvaux,46.5030476,6.721573599999999
416,F-Mery sur Cher,47.24827399999999,1.992231
417,Männedorf,47.2574625,8.6946733
418,Bern,46.9479739,7.4474468
419,F-Issy les Moulineaux,48.8245306,2.2743419
420,F-Besancon,47.237829,6.024053899999999
421,F-Besancon,47.237829,6.024053899999999
422,Lausanne,46.5196535,6.6322734
423,Essertines-sur-Rolle,46.492086,6.3173032
424,I-Trento (TN),46.0747793,11.1217486
425,La Croix (Lutry),46.51612,6.70135
426,Cheseaux-sur-Lausanne,46.585452,6.6047712
427,GR-Elaiones Pylaias,n,a
428,Penthalaz,46.6097989,6.525440199999999
429,Préverenges,46.5175835,6.525268199999999
430,Lausanne,46.5196535,6.6322734
431,Romanel-sur-Lausanne,46.5630648,6.603945
432,I-Aosta (AO),45.7349551,7.313076199999999
433,Genève,46.2043907,6.1431577
434,Neuchâtel,46.9899874,6.9292732
435,Bussigny,46.5517429,6.558615
436,F-Divonne les Bains,46.358168,6.136039999999999
437,F-Divonne les Bains,46.358168,6.136039999999999
438,Ayent,46.2765711,7.4058146
439,Champlan (Grimisuat),46.2469153,7.3717634
440,Lausanne,46.5196535,6.6322734
441,Morges,46.5088127,6.496130099999999
442,Vessy,46.1824417,6.1666044
443,F-Hartmannswiller,47.861553,7.216853
444,Lausanne,46.5196535,6.6322734
445,Arveyes,46.29093,7.062189999999999
446,J-Yawata City,34.8755551,135.7076209
448,F-Illkirch Graffenstaden,48.52854,7.711011
449,Prilly,46.5346449,6.6052401
450,Lausanne,46.5196535,6.6322734
451,Aubonne,46.49532910000001,6.3918325
452,Lausanne,46.5196535,6.6322734
453,Bure,53.5933498,-2.2966054
455,Châtel-St-Denis,46.5269159,6.901089499999999
456,F-Versailles,48.8048649,2.1203554
457,Lonay,46.52664679999999,6.5205487
458,Bogis-Bossey,46.352546,6.1654551
459,Carrouge VD,46.6043933,6.7748157
460,Ecublens VD,46.5296363,6.561525199999999
461,Chavannes-de-Bogis,46.3435262,6.162147699999999
462,F-Catenay,49.513651,1.320872
463,F-Catenay,49.513651,1.320872
464,Epalinges,46.54885729999999,6.674199
465,Pully,46.5092681,6.6654949
466,Gland,46.4203001,6.2698809
467,Studen BE,47.1115805,7.302630199999999
468,Lausanne,46.5196535,6.6322734
469,Nyon,46.3832683,6.2347852
470,Fribourg,46.8064773,7.161971899999999
471,Cureglia,46.0371189,8.945431
472,Lausanne,46.5196535,6.6322734
473,Lausanne,46.5196535,6.6322734
474,Lully VD,46.50538,6.4653546
475,Bremgarten AG,47.34917739999999,8.3397905
476,Gland,46.4203001,6.2698809
477,Blonay,46.4647104,6.8946536
478,Prilly,46.5346449,6.6052401
479,Mollie-Margot,46.55668,6.75057
480,Lausanne,46.5196535,6.6322734
481,Lonay,46.52664679999999,6.5205487
482,F-Port Lesney,47.00195799999999,5.825084899999999
483,F-Annemasse,46.19325300000001,6.234158
484,F-Publier,46.387104,6.542815999999999
485,La Croix (Lutry),46.51612,6.70135
486,S-Stockholm,59.32932349999999,18.0685808
487,Neyruz FR,46.7685914,7.065865199999999
488,Crassier,46.3744662,6.1635803
489,I-Mantova (MN),45.1564168,10.7913751
490,Ravoire,45.556935,5.971687999999999
491,Chermignon,46.2885965,7.475380499999999
492,Préverenges,46.5175835,6.525268199999999
493,Sierre,46.29413110000001,7.533536199999999
494,Echandens-Denges,n,a
496,F-Noaillan,44.479551,-0.366154
499,L'Isle,46.6183489,6.4134809
500,L'Isle,46.6183489,6.4134809
501,Vufflens-la-Ville,46.5787989,6.539418
502,Lausanne,46.5196535,6.6322734
503,F-Gaillard,46.18468499999999,6.208959
504,Genève,46.2043907,6.1431577
505,Morges,46.5088127,6.496130099999999
506,F-St Paul en Chablais,46.379455,6.630401
507,F-Montreuil,48.863812,2.448451
508,Vessy,46.1824417,6.1666044
509,Yverdon-les-Bains,46.7784736,6.641183
510,Genève,46.2043907,6.1431577
511,Genève,46.2043907,6.1431577
512,Morges,46.5088127,6.496130099999999
513,Lausanne,46.5196535,6.6322734
514,Yverdon-les-Bains,46.7784736,6.641183
515,Yverdon-les-Bains,46.7784736,6.641183
516,Renens VD,46.53381,6.59137
517,Engelberg,46.8200266,8.4069918
518,Pully,46.5092681,6.6654949
519,Pully,46.5092681,6.6654949
520,Pully,46.5092681,6.6654949
521,Pully,46.5092681,6.6654949
522,F-Ouveillan,43.292732,2.968821
523,Lausanne,46.5196535,6.6322734
524,Puidoux,46.4988452,6.7691772
525,St-Prex,46.4829113,6.458343500000001
526,Lausanne,46.5196535,6.6322734
527,Savièse,46.2511752,7.349158099999999
528,Savièse,46.2511752,7.349158099999999
529,Clarens,-28.5143573,28.4104684
530,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
531,Yverdon-les-Bains,46.7784736,6.641183
532,Lausanne,46.5196535,6.6322734
533,Nidau,47.0935327,7.2328515
534,Lausanne,46.5196535,6.6322734
535,Lausanne,46.5196535,6.6322734
538,Puidoux,46.4988452,6.7691772
539,Epalinges,46.54885729999999,6.674199
541,Belmont-sur-Lausanne,46.5191267,6.678912299999999
542,Longirod,46.4951923,6.2585349
543,Préverenges,46.5175835,6.525268199999999
544,Combremont-le-Petit,46.7494,6.80999
546,St-Blaise,47.013611,6.9849397
548,Biel/Bienne,47.1367785,7.2467909
549,Gland,46.4203001,6.2698809
550,Kerzers,46.97488999999999,7.1954365
551,Charmey (Gruyère),46.6175845,7.1654493
552,Bern,46.9479739,7.4474468
553,Châtel-St-Denis,46.5269159,6.901089499999999
554,St-Légier,46.47171849999999,6.876770899999999
555,Châtel-St-Denis,46.5269159,6.901089499999999
556,Münsingen,46.8746813,7.5627528
557,Châtel-St-Denis,46.5269159,6.901089499999999
558,Genève,46.2043907,6.1431577
559,Lausanne,46.5196535,6.6322734
560,Lausanne,46.5196535,6.6322734
561,Lausanne,46.5196535,6.6322734
562,Lausanne,46.5196535,6.6322734
563,Lugano,46.0036778,8.951051999999999
564,Lausanne,46.5196535,6.6322734
565,Genève,46.2043907,6.1431577
566,Gumefens,46.6767042,7.0757631
567,F-Viry,48.837781,-0.888482
568,Morges,46.5088127,6.496130099999999
569,Camorino,46.1636142,9.0052405
570,Villars-sur-Ollon,46.3,7.05
571,Villars-sur-Ollon,46.3,7.05
572,Villars-sur-Ollon,46.3,7.05
573,Ecublens VD,46.5296363,6.561525199999999
574,Morges,46.5088127,6.496130099999999
575,Morges,46.5088127,6.496130099999999
576,I-Perugia (PG),43.1107168,12.3908279
577,Genève,46.2043907,6.1431577
578,F-Issy les Moulineaux,48.8245306,2.2743419
579,F-Montagnole,45.538237,5.908586
580,Biel/Bienne,47.1367785,7.2467909
581,Lausanne,46.5196535,6.6322734
582,F-Saint Julien,43.690787,5.908373999999999
583,F-Saint Julien,43.690787,5.908373999999999
584,Montreux,46.4312213,6.9106799
585,Mollie-Margot,46.55668,6.75057
586,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
589,Vessy,46.1824417,6.1666044
590,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
591,Romanel-sur-Lausanne,46.5630648,6.603945
593,Cheseaux-sur-Lausanne,46.585452,6.6047712
594,Echallens,46.6410996,6.634450800000001
595,F-La Terrasse,45.323803,5.930623
596,F-Branges,46.645112,5.1744389
597,Morges,46.5088127,6.496130099999999
598,F-Montreuil,48.863812,2.448451
599,Lausanne,46.5196535,6.6322734
600,Lausanne,46.5196535,6.6322734
601,Manno,46.0342979,8.9194112
602,Vulliens,46.622324,6.792134400000001
603,Lausanne,46.5196535,6.6322734
604,Bulle,46.6154512,7.057726799999999
605,Bulle,46.6154512,7.057726799999999
608,La Chaux-de-Fonds,47.1034892,6.832783800000001
609,La Chaux-de-Fonds,47.1034892,6.832783800000001
610,Lausanne,46.5196535,6.6322734
611,Lausanne,46.5196535,6.6322734
612,Lausanne,46.5196535,6.6322734
613,Villeneuve FR,46.7464845,6.868663
614,F-La Rochelle,46.160329,-1.151139
615,Gollion,46.5852808,6.5067932
616,Geneva,46.2043907,6.1431577
617,Monthey,46.2521873,6.9469598
618,Sion,46.2331221,7.360625999999999
619,Sion,46.2331221,7.360625999999999
620,F-Thoiry,46.236466,5.979909999999999
621,F-Plaisir,48.817223,1.949075
622,Grand-Lancy,46.1781048,6.1233726
625,Mont-sur-Rolle,46.4693048,6.340543599999999
626,Crans-près-Céligny,46.3598471,6.206461900000001
627,F-Cotebrune,47.253908,6.312708
628,Lausanne,46.5196535,6.6322734
629,Pully,46.5092681,6.6654949
630,Cousset,46.81832,6.977279999999999
631,Chbles FR,46.109173,6.701535
633,Zürich,47.3768866,8.541694
634,Lausanne,46.5196535,6.6322734
635,F-Lyon,45.764043,4.835659
636,Vésenaz,46.23936,6.19754
638,Epalinges,46.54885729999999,6.674199
640,Epalinges,46.54885729999999,6.674199
641,Mathod,46.7674276,6.5656279
642,F-St Genis Pouilly,46.2437479,6.02513
643,Savigny,46.5383864,6.7321079
644,Geneve,46.2043907,6.1431577
645,Renens VD,46.53381,6.59137
646,Epalinges,46.54885729999999,6.674199
647,Affoltern am Albis,47.2795081,8.4540083
648,Worb,46.93011019999999,7.5635394
649,F-Doubs,47.1969824,6.3126004
650,Sion,46.2331221,7.360625999999999
651,Renens VD,46.53381,6.59137
652,F-Tigery,48.64538899999999,2.503193
653,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
654,F-Maxilly sur Leman,46.40004,6.635004899999999
655,Genève,46.2043907,6.1431577
656,Lausanne,46.5196535,6.6322734
657,Lausanne,46.5196535,6.6322734
658,F-Metabief,46.773705,6.350552
659,Wettingen,47.4659503,8.3265988
660,D-Gomadingen,48.3993121,9.391195999999999
661,Morges,46.5088127,6.496130099999999
662,Biel/Bienne,47.1367785,7.2467909
663,St-Maurice,46.13168719999999,6.958372
664,F-Jarnac,45.681389,-0.1739169
665,Novalles,46.8283942,6.595685599999999
666,GB-Chorley,53.653511,-2.632596
667,F-Morteau,47.05698,6.604106
668,Genève,46.2043907,6.1431577
669,D-Viernheim,49.5412437,8.5784877
670,Nyon,46.3832683,6.2347852
671,Lausanne,46.5196535,6.6322734
672,La Tour-de-Peilz,46.4533165,6.8612781
673,Zürich,47.3768866,8.541694
674,Lausanne,46.5196535,6.6322734
675,Lausanne,46.5196535,6.6322734
676,Lausanne,46.5196535,6.6322734
677,Pampigny,46.580344,6.427485900000001
678,Echichens,46.5260528,6.498251199999999
679,F-Paris,48.856614,2.3522219
680,Lausanne,46.5196535,6.6322734
681,Echallens,46.6410996,6.634450800000001
682,Presinge,46.21860299999999,6.2535283
683,Zürich,47.3768866,8.541694
684,Pully,46.5092681,6.6654949
685,Cugnasco,46.1757927,8.9221883
686,Lausanne,46.5196535,6.6322734
687,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
688,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
689,La Chaux (Cossonay),46.61805,6.473059999999999
690,Moudon,46.6698891,6.7975224
691,Belfaux,46.8221516,7.1043531
692,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
693,Le Mont-sur-Lausanne,46.55331229999999,6.6339915
695,Croy,55.96113,-4.039556
696,Villars-le-Terroir,46.65755,6.639048900000001
698,F-Fontaine,-11.6653222,27.4847982
699,Choulex,46.2233187,6.2244344
700,La Chaux (Cossonay),46.61805,6.473059999999999
701,Gollion,46.5852808,6.5067932
702,Estavayer-le-Lac,46.8496401,6.845060800000001
703,Riaz,46.6415102,7.062369299999999
704,Cossonay-Ville,46.61452999999999,6.507239999999999
705,Mollens VD,46.5770664,6.363767
